word,word_count,x_coord,y_coord,rank
tohu,3076.0,2.6531565,1.7744099,269
haora,3150.0,3.9475396,0.23033363,270
taia,3047.0,-1.0966617,1.6639738,271
putanga,2825.0,-1.6482837,-3.0899427,272
rohe,3228.0,5.8351336,2.650323,273
whakarite,3205.0,-0.0625886,3.67576,274
kote,3213.0,3.025088,1.57652,275
rarangi,3096.0,1.6082093,3.7973256,276
etita,5220.0,3.8128028,4.3743663,277
tua,3004.0,3.4716513,-0.21976933,278
eka,3229.0,-1.885859,4.6882215,279
hipi,3511.0,1.3080648,-5.8306675,280
kii,2834.0,1.000034,1.7669892,281
hau,5893.0,5.370376,-2.8234277,282
niu_tireni,1.0,-2.45023,-2.670578,283
whakarongo,3206.0,0.13428624,1.9896904,284
wiremu,4163.0,9.520176,-2.1234417,285
ahei,2563.0,-1.0597548,5.072873,286
matenga,3008.0,4.6087513,0.41108775,287
nunui,2723.0,2.0816455,-2.1143975,288
ena,2518.0,0.48521394,1.7425371,289
utua,2622.0,-2.1449378,-4.6812177,290
turanga,3190.0,6.183219,0.70557,291
whakaaetia,2773.0,0.5057594,4.136121,292
heke,2966.0,4.2509246,-0.48773813,293
uri,2746.0,4.831727,1.268112,294
painga,2508.0,0.91643256,2.7609231,295
rau,6001.0,2.0619888,-4.7993503,296
whiwhi,2520.0,1.3694324,2.4288108,297
mote,2604.0,2.9940743,1.4873457,298
mutunga,2615.0,1.9900829,1.6832995,299
ahu,2576.0,4.8995867,-1.3511086,300
kuri,2927.0,2.6175716,-4.3935966,301
whanganui,4077.0,7.9232388,0.8048311,302
tuturu,2736.0,0.9783352,4.468092,303
oku,2461.0,2.4367416,2.9406683,304
tautoko,2616.0,2.1677418,4.8361526,305
ariki,3020.0,3.2804306,2.2112806,306
nepia,4389.0,5.36015,1.5820189,307
nama,3416.0,-1.381081,-3.888704,308
matauranga,2575.0,1.5703002,1.7821499,309
ahi,2960.0,3.5209749,-3.1751046,310
waenganui,2421.0,4.008583,0.47909093,311
poneke,3646.0,5.1778736,1.9818066,312
tou,2558.0,1.790443,2.3522685,313
waipiro,3045.0,0.6042288,-1.5733395,314
korua,2499.0,2.922435,2.6210957,315
rapu,2422.0,-0.07536247,1.161455,316
ehara,3118.0,0.067649566,0.15359099,317
tuhituhi,2509.0,-1.445384,2.3780577,318
mahue,2413.0,2.2908673,-0.15038647,319
kawea,2445.0,1.4912274,-1.9747167,320
hereni,3896.0,-1.448945,-5.077573,321
hokona,2270.0,-1.183152,-3.766013,322
kara,3240.0,1.4453473,-5.031881,323
ropu,2610.0,4.3841047,1.6858526,324
taka,2391.0,2.6945915,-1.2451199,325
naku,2812.0,2.1264985,3.0985343,326
tane,2398.0,3.2583644,-0.90966105,327
inoi,2760.0,0.6174211,2.0819948,328
whakamarama,2568.0,1.9010859,3.7876854,329
whakapai,2323.0,1.1994044,2.4049425,330
hinga,2283.0,3.6732678,-0.8407541,331
patai,2569.0,1.0382503,3.3416762,332
kapene,2656.0,5.0388155,-3.8433528,333
