word,word_count,x_coord,y_coord,rank
whakamarama,2568,-0.39545718,2.4846792,321
ahei,2563,-2.4714043,4.6066136,322
poaka,2562,1.3414626,-6.2660584,323
tou,2558,-1.5792524,0.4870123,324
kara,2546,1.0779322,-5.189104,325
tuturu,2531,-1.2605356,4.032202,326
maehe,2530,2.2310405,1.5266666,327
whiwhi,2520,-3.3450892,1.3361568,328
ena,2518,-2.8434737,0.84733003,329
tuhituhi,2509,0.027758392,3.1635618,330
painga,2508,-3.285175,1.6128939,331
oketopa,2503,2.4881523,1.1080321,332
korua,2499,-0.33838728,0.9064378,333
mote,2489,-0.022637526,2.0193553,334
paora,2481,5.5933485,1.9160995,335
naianei,2481,-2.4490962,1.8713051,336
oku,2461,-1.2461472,0.689777,337
tiriti,2460,-0.48035067,4.328052,338
tama,2452,1.1100601,-1.0338514,339
rori,2443,0.24851233,-2.1583176,340
witi,2439,0.9451985,-6.449057,341
inoi,2438,-2.3873544,1.8483808,342
tiamana,2427,1.769855,4.259347,343
rapu,2422,-4.7169285,0.4871767,344
waenganui,2421,-2.872539,-2.8367817,345
maku,2412,-1.3031644,1.2177777,346
tane,2398,0.022314884,-1.7367136,347
taka,2391,-1.9643217,-4.105619,348
kawea,2390,-4.275015,0.46560585,349
tari,2386,0.23158853,3.8977592,350
tupapaku,2382,-0.4092284,-1.9422728,351
mahue,2380,-2.3706036,-1.3655561,352
koroni,2337,-7.341989,-0.30743706,353
panuitia,2335,-0.046494484,3.1147578,354
ika,2326,-4.487876,0.5680425,355
ropu,2321,-5.167119,-4.0152826,356
kanohi,2317,-1.5855006,-3.419228,357
koi,2315,-2.5691018,1.6836158,358
makarini,2292,1.7958701,2.9013817,359
hinga,2283,-3.380338,-3.051438,360
whakapai,2282,-1.4615996,2.6001086,361
poti,2276,-2.4718714,-4.386455,362
hokona,2270,-2.696999,5.364451,363
ono,2267,-6.326117,-2.7678733,364
kapene,2264,2.9841206,-2.8985395,365
karere,2252,2.1936085,-0.15417857,366
tuhia,2247,-0.30965915,2.8278837,367
rongoa,2239,0.12600815,-4.582654,368
akuhata,2230,2.8744738,1.0620861,369
